filename,x,z,rotation_index,rotation_degrees
000000.png,-4.5,-4.5,0,0
000001.png,-4.5,-4.5,1,90
000002.png,-4.5,-4.5,2,180
000003.png,-4.5,-4.5,3,270
000004.png,-4.5,-3.5,0,0
000005.png,-4.5,-3.5,1,90
000006.png,-4.5,-3.5,2,180
000007.png,-4.5,-3.5,3,270
000008.png,-4.5,-2.5,0,0
000009.png,-4.5,-2.5,1,90
000010.png,-4.5,-2.5,2,180
000011.png,-4.5,-2.5,3,270
000012.png,-4.5,-1.5,0,0
000013.png,-4.5,-1.5,1,90
000014.png,-4.5,-1.5,2,180
000015.png,-4.5,-1.5,3,270
000016.png,-4.5,-0.5,0,0
000017.png,-4.5,-0.5,1,90
000018.png,-4.5,-0.5,2,180
000019.png,-4.5,-0.5,3,270
000020.png,-4.5,0.5,0,0
000021.png,-4.5,0.5,1,90
000022.png,-4.5,0.5,2,180
000023.png,-4.5,0.5,3,270
000024.png,-4.5,1.5,0,0
000025.png,-4.5,1.5,1,90
000026.png,-4.5,1.5,2,180
000027.png,-4.5,1.5,3,270
000028.png,-4.5,2.5,0,0
000029.png,-4.5,2.5,1,90
000030.png,-4.5,2.5,2,180
000031.png,-4.5,2.5,3,270
000032.png,-4.5,3.5,0,0
000033.png,-4.5,3.5,1,90
000034.png,-4.5,3.5,2,180
000035.png,-4.5,3.5,3,270
000036.png,-4.5,4.5,0,0
000037.png,-4.5,4.5,1,90
000038.png,-4.5,4.5,2,180
000039.png,-4.5,4.5,3,270
000040.png,-3.5,-4.5,0,0
000041.png,-3.5,-4.5,1,90
000042.png,-3.5,-4.5,2,180
000043.png,-3.5,-4.5,3,270
000044.png,-3.5,-3.5,0,0
000045.png,-3.5,-3.5,1,90
000046.png,-3.5,-3.5,2,180
000047.png,-3.5,-3.5,3,270
000048.png,-3.5,-2.5,0,0
000049.png,-3.5,-2.5,1,90
000050.png,-3.5,-2.5,2,180
000051.png,-3.5,-2.5,3,270
000052.png,-3.5,-1.5,0,0
000053.png,-3.5,-1.5,1,90
000054.png,-3.5,-1.5,2,180
000055.png,-3.5,-1.5,3,270
000056.png,-3.5,-0.5,0,0
000057.png,-3.5,-0.5,1,90
000058.png,-3.5,-0.5,2,180
000059.png,-3.5,-0.5,3,270
000060.png,-3.5,0.5,0,0
000061.png,-3.5,0.5,1,90
000062.png,-3.5,0.5,2,180
000063.png,-3.5,0.5,3,270
000064.png,-3.5,1.5,0,0
000065.png,-3.5,1.5,1,90
000066.png,-3.5,1.5,2,180
000067.png,-3.5,1.5,3,270
000068.png,-3.5,2.5,0,0
000069.png,-3.5,2.5,1,90
000070.png,-3.5,2.5,2,180
000071.png,-3.5,2.5,3,270
000072.png,-3.5,3.5,0,0
000073.png,-3.5,3.5,1,90
000074.png,-3.5,3.5,2,180
000075.png,-3.5,3.5,3,270
000076.png,-3.5,4.5,0,0
000077.png,-3.5,4.5,1,90
000078.png,-3.5,4.5,2,180
000079.png,-3.5,4.5,3,270
000080.png,-2.5,-4.5,0,0
000081.png,-2.5,-4.5,1,90
000082.png,-2.5,-4.5,2,180
000083.png,-2.5,-4.5,3,270
000084.png,-2.5,-3.5,0,0
000085.png,-2.5,-3.5,1,90
000086.png,-2.5,-3.5,2,180
000087.png,-2.5,-3.5,3,270
000088.png,-2.5,-2.5,0,0
000089.png,-2.5,-2.5,1,90
000090.png,-2.5,-2.5,2,180
000091.png,-2.5,-2.5,3,270
000092.png,-2.5,-1.5,0,0
000093.png,-2.5,-1.5,1,90
000094.png,-2.5,-1.5,2,180
000095.png,-2.5,-1.5,3,270
000096.png,-2.5,-0.5,0,0
000097.png,-2.5,-0.5,1,90
000098.png,-2.5,-0.5,2,180
000099.png,-2.5,-0.5,3,270
000100.png,-2.5,0.5,0,0
000101.png,-2.5,0.5,1,90
000102.png,-2.5,0.5,2,180
000103.png,-2.5,0.5,3,270
000104.png,-2.5,1.5,0,0
000105.png,-2.5,1.5,1,90
000106.png,-2.5,1.5,2,180
000107.png,-2.5,1.5,3,270
000108.png,-2.5,2.5,0,0
000109.png,-2.5,2.5,1,90
000110.png,-2.5,2.5,2,180
000111.png,-2.5,2.5,3,270
000112.png,-2.5,3.5,0,0
000113.png,-2.5,3.5,1,90
000114.png,-2.5,3.5,2,180
000115.png,-2.5,3.5,3,270
000116.png,-2.5,4.5,0,0
000117.png,-2.5,4.5,1,90
000118.png,-2.5,4.5,2,180
000119.png,-2.5,4.5,3,270
000120.png,-1.5,-4.5,0,0
000121.png,-1.5,-4.5,1,90
000122.png,-1.5,-4.5,2,180
000123.png,-1.5,-4.5,3,270
000124.png,-1.5,-3.5,0,0
000125.png,-1.5,-3.5,1,90
000126.png,-1.5,-3.5,2,180
000127.png,-1.5,-3.5,3,270
000128.png,-1.5,-2.5,0,0
000129.png,-1.5,-2.5,1,90
000130.png,-1.5,-2.5,2,180
000131.png,-1.5,-2.5,3,270
000132.png,-1.5,-1.5,0,0
000133.png,-1.5,-1.5,1,90
000134.png,-1.5,-1.5,2,180
000135.png,-1.5,-1.5,3,270
000136.png,-1.5,-0.5,0,0
000137.png,-1.5,-0.5,1,90
000138.png,-1.5,-0.5,2,180
000139.png,-1.5,-0.5,3,270
000140.png,-1.5,0.5,0,0
000141.png,-1.5,0.5,1,90
000142.png,-1.5,0.5,2,180
000143.png,-1.5,0.5,3,270
000144.png,-1.5,1.5,0,0
000145.png,-1.5,1.5,1,90
000146.png,-1.5,1.5,2,180
000147.png,-1.5,1.5,3,270
000148.png,-1.5,2.5,0,0
000149.png,-1.5,2.5,1,90
000150.png,-1.5,2.5,2,180
000151.png,-1.5,2.5,3,270
000152.png,-1.5,3.5,0,0
000153.png,-1.5,3.5,1,90
000154.png,-1.5,3.5,2,180
000155.png,-1.5,3.5,3,270
000156.png,-1.5,4.5,0,0
000157.png,-1.5,4.5,1,90
000158.png,-1.5,4.5,2,180
000159.png,-1.5,4.5,3,270
000160.png,-0.5,-4.5,0,0
000161.png,-0.5,-4.5,1,90
000162.png,-0.5,-4.5,2,180
000163.png,-0.5,-4.5,3,270
000164.png,-0.5,-3.5,0,0
000165.png,-0.5,-3.5,1,90
000166.png,-0.5,-3.5,2,180
000167.png,-0.5,-3.5,3,270
000168.png,-0.5,-2.5,0,0
000169.png,-0.5,-2.5,1,90
000170.png,-0.5,-2.5,2,180
000171.png,-0.5,-2.5,3,270
000172.png,-0.5,-1.5,0,0
000173.png,-0.5,-1.5,1,90
000174.png,-0.5,-1.5,2,180
000175.png,-0.5,-1.5,3,270
000176.png,-0.5,-0.5,0,0
